,0,1
93,0.06579332246575682,1.0
5,5.336699231206302e-10,8.0
82,0.01,2.0
95,0.08111308307896889,1.0
19,1e-09,8.0
71,0.0002848035868435805,8.0
84,0.012328467394420685,2.0
60,2.3101297000831627e-05,8.0
97,0.0018738174228603867,8.0
73,0.0005336699231206312,8.0
3,1e-10,8.0
86,0.02310129700083158,2.0
62,3.511191734215135e-05,8.0
99,0.0023101297000831626,8.0
75,0.0008111308307896872,8.0
51,6.579332246575683e-06,8.0
88,0.03511191734215127,1.0
64,8.111308307896872e-05,8.0
40,3.5111917342151277e-07,8.0
6,1.2328467394420683e-10,8.0
77,0.001,8.0
53,5.336699231206313e-06,8.0
92,0.004328761281083062,2.0
1,1.5199110829529332e-10,8.0
66,0.0001873817422860383,8.0
42,2.848035868435805e-07,8.0
79,0.0006579332246575682,8.0
81,0.008111308307896872,2.0
55,1.873817422860383e-05,8.0
94,0.1,1.0
31,1e-07,8.0
68,0.0001232846739442066,8.0
44,2.310129700083158e-06,8.0
83,0.01873817422860387,2.0
20,1.232846739442066e-08,8.0
4,2.848035868435805e-10,8.0
57,1.2328467394420658e-05,8.0
33,8.111308307896873e-08,8.0
72,0.00043287612810830614,8.0
96,0.0035111917342151347,2.0
46,1.232846739442066e-06,8.0
85,0.005336699231206312,2.0
22,2.848035868435805e-09,8.0
61,4.328761281083062e-05,8.0
98,0.0028480358684358047,7.0
35,1.232846739442066e-07,8.0
74,0.0003511191734215135,8.0
11,1.873817422860387e-09,8.0
48,8.111308307896873e-06,8.0
50,2.848035868435805e-06,8.0
24,6.579332246575682e-09,8.0
63,5.3366992312063123e-05,8.0
87,0.01519911082952933,2.0
2,2.310129700083158e-10,8.0
37,1.519911082952933e-07,8.0
13,2.310129700083158e-09,8.0
52,3.5111917342151347e-06,8.0
76,0.0012328467394420659,8.0
26,3.5111917342151277e-08,8.0
65,6.579332246575683e-05,8.0
41,1e-06,8.0
78,0.0015199110829529332,8.0
89,0.028480358684358047,1.0
15,5.336699231206302e-09,8.0
54,4.328761281083061e-06,8.0
30,6.579332246575682e-08,8.0
67,0.0001,8.0
43,6.579332246575682e-07,8.0
0,3.5111917342151276e-10,8.0
17,4.328761281083061e-09,8.0
32,4.328761281083061e-08,8.0
56,1e-05,8.0
69,0.0001519911082952933,8.0
45,8.111308307896872e-07,8.0
21,1.8738174228603867e-08,8.0
58,1.5199110829529332e-05,8.0
34,1.8738174228603868e-07,8.0
10,8.111308307896889e-10,8.0
47,1.873817422860383e-06,8.0
8,6.579332246575682e-10,8.0
23,1e-08,8.0
36,2.310129700083158e-07,8.0
12,1.519911082952933e-09,8.0
49,1.519911082952933e-06,8.0
25,1.519911082952933e-08,8.0
38,4.3287612810830616e-07,8.0
90,0.043287612810830614,1.0
14,1.2328467394420635e-09,8.0
27,2.848035868435805e-08,8.0
16,3.5111917342151273e-09,8.0
29,2.310129700083158e-08,8.0
18,8.11130830789689e-09,8.0
9,4.3287612810830617e-10,8.0
70,0.00023101297000831627,8.0
59,2.8480358684358048e-05,8.0
7,1.8738174228603868e-10,8.0
39,5.336699231206313e-07,8.0
91,0.053366992312063016,1.0
28,5.3366992312063125e-08,8.0
80,0.006579332246575682,2.0
